Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Current Landfill Status
1080,East Carolina Regional LF,NC,1922 Republican Road,Aulander,Bertie,27805,36.112286,-77.071925,Private,"Republic Services, Inc.",1993,Open
1081,East Lake LF-Dare County,NC,,East Lake,Dare,,35.89308,-75.96674,Public,Dare County,1982,Closed
1082,Edgecombe County LF,NC,2872 Colonial Road,Tarboro,Edgecombe,27886,35.822,-77.565,Public,"Edgecombe County, NC",1980,Open
1146,Feltonsville Sanitary Landfill,NC,6000 Old Smithfield Road,Apex,Wake,27502,35.682,-78.85,Public,"Wake County, NC",1977,Closed
2200,Foothills Environmental Landfill,NC,2800 Cheraw Road,Lenoir,Caldwell,28645,35.915,-81.593,Private,"Republic Services, Inc.",1998,Open
1083,Franklin County LF,NC,10 Landfill Road,Franklinton,Franklin,27525,36.064,-78.378,Public,"Franklin County, NC",1973,Closed
1084,Gaston County LF,NC,3155 Philadelphia Church Road,Dallas,Gaston,28034,35.3886,-81.1718,Public,"Gaston County, NC",1987,Open
1085,Graham County LF,NC,,Robbinsville,Graham,,,,Public,"Graham County, NC",1973,Closed
1086,Granville County LF 1,NC,6584 Landfill Road,Oxford,Granville,27565,36.3717,-78.6231,Public,Landfill Owner of Granville County LF 1,1976,Closed
20756,Great Oak Landfill,NC,3597 Old Cedar Falls Road,Randleman,Randolph,27317,35.746,-79.752,Public,"Randolph County, NC",2017,Open
1088,Greene County Landfill,NC,105 Landfill Road,Walstonburg,Greene,27888,35.52515,-77.69514,Public,"Greene County, NC",1982,Closed
1067,Hanes Mill Road Landfill,NC,325 West Hanes Mill Road,Winston-Salem,Forsyth,27105,36.1869,-80.2806,Public,"City of Winston-Salem, NC",1972,Open
1090,Harnett County LF,NC,"449 Daniels Road
End of SR-1724",Dunn,Harnett,28334,35.3535,-78.6537,Public,"Harnett County, NC",1976,Closed
1091,Haywood County LF,NC,Francis Farm Road,Haywood,Haywood,28721,35.504,-82.9588,Public,"Haywood County, NC",1973,Closed
1092,Haywood County White Oak LF,NC,3898 Fines Creek Road,Waynesville,Haywood,28785,35.66343,-82.99866,Public,"Haywood County, NC",1993,Open
1093,Henderson County LF,NC,802 Stoney Mountain Road,Hendersonville,Henderson,28791,35.355,-82.496,Public,"Henderson County, NC",1960,Closed
1094,Hertford County LF,NC,Hwy 158 and SR-1203,Winton,Hertford,27986,36.3838,-76.9367,Public,"Hertford County, NC",1973,Closed
