State,,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Richland County, South Carolina(6,8)",,449.3,439.7,459,1776,falling,-1.1,-1.4,-0.7
"Dutchess County, New York(7,8)",,473.6,463.5,483.8,1773,falling,-0.6,-0.9,-0.3
"Adams County, Colorado(6,8)",,406,397.2,414.9,1736,falling,-1,-1.4,-0.6
"Allen County, Indiana(6,8)",,433.2,423.9,442.6,1732,falling,-1,-1.4,-0.6
"Charlotte County, Florida(6,8)",,462,450,474.3,1730,stable,0,-0.8,0.8
"Cumberland County, Maine(6,8)",,459.1,449.1,469.2,1720,falling,-1.1,-1.5,-0.7
"Monterey County, California(7,8)",,394,385.5,402.6,1711,falling,-0.8,-1.1,-0.4
"Marin County, California(7,8)",,448.9,439,459,1704,stable,2,-2.4,6.5
"Atlantic County, New Jersey(7,8)",,495.8,485,506.8,1699,falling,-0.8,-1.2,-0.5
"Marion County, Oregon(6,8)",,453.7,443.9,463.6,1697,falling,-0.8,-1.4,-0.2
"Sussex County, Delaware(6,8)",,477.1,466.1,488.4,1691,falling,-5.2,-9.2,-1
"Chesterfield County, Virginia(6,8)",,450.8,440.8,460.8,1688,falling,-0.9,-1.5,-0.4
"Spartanburg County, South Carolina(6,8)",,472.8,462.5,483.3,1675,stable,-0.5,-0.9,0
"Winnebago County, Illinois(6,8)",,473.3,463,483.9,1674,stable,-0.2,-0.5,0.2
"Hernando County, Florida(6,8)",,546.2,533.4,559.2,1667,stable,-2.2,-5,0.8
"Yavapai County, Arizona(6,8)",,407.9,398,418,1654,falling,-0.8,-1.3,-0.2
"Henrico County, Virginia(6,8)",,445.5,435.8,455.5,1648,falling,-1.2,-1.7,-0.6
"Erie County, Pennsylvania(6,8)",,475.3,464.7,486,1643,stable,-0.4,-0.8,0
"New London County, Connecticut(7,8)",,474.2,463.6,484.9,1640,falling,-1.1,-1.5,-0.7
"San Luis Obispo County, California(7,8)",,440.1,430.1,450.3,1622,falling,-1.1,-1.5,-0.8
"Kitsap County, Washington(7,8)",,502.7,491.3,514.3,1615,stable,-0.2,-0.4,0
"Madison County, Illinois(6,8)",,482.7,471.9,493.7,1601,falling,-1.2,-1.9,-0.6
"Buncombe County, North Carolina(6,8)",,471.1,460.4,481.9,1597,stable,-0.4,-0.9,0.1
"St. Louis City, Missouri(6,8)",,473.7,463,484.6,1586,falling,-2.3,-3.7,-0.9
"Dauphin County, Pennsylvania(6,8)",,471.8,461.2,482.7,1585,stable,-0.2,-0.5,0.1
"Niagara County, New York(7,8)",,552.5,539.9,565.3,1579,stable,0,-0.3,0.3
"Mohave County, Arizona(6,8)",,431.2,420.7,441.9,1579,falling,-3.4,-6.4,-0.4
"Thurston County, Washington(7,8)",,484,473.1,495.2,1573,falling,-0.3,-0.5,-0.1
"Fayette County, Kentucky(7,8)",,486.1,475.1,497.3,1553,falling,-0.9,-1.2,-0.6
"Washtenaw County, Michigan(6,8)",,422.7 #  ,413.1,432.5,1551,falling,-1.6,-2.4,-0.8
"Harford County, Maryland(6,8)",,512.8,501.1,524.7,1546,stable,0.1,-0.3,0.6
"McHenry County, Illinois(6,8)",,455.7,445.2,466.4,1546,falling,-1.2,-1.5,-0.8
"Tulare County, California(7,8)",,376.5,368,385.1,1541,falling,-1.2,-1.5,-0.9
"Oneida County, New York(7,8)",,503.8,492.2,515.7,1525,falling,-0.4,-0.7,-0.1
"Saratoga County, New York(7,8)",,528.6,516.4,541,1514,stable,-0.2,-0.6,0.2
"Cameron County, Texas(6,8)",,370.9,362.5,379.4,1511,falling,-0.8,-1.2,-0.5
"Citrus County, Florida(6,8)",,521.1,507.1,535.5,1506,stable,-2.9,-8,2.5
"St. Tammany Parish, Louisiana(7,8)",,497.8,486.2,509.6,1499,falling,-0.5,-0.8,-0.2
"Larimer County, Colorado(6,8)",,407.4,397.9,417.1,1491,stable,1.3,-0.4,3
"Osceola County, Florida(6,8)",,446.1,435.9,456.5,1489,stable,0,-0.5,0.6
"Lake County, Ohio(6,8)",,474.7,463.6,486.1,1486,stable,-0.1,-0.6,0.3
"St. Johns County, Florida(6,8)",,487.4,476,499.1,1485,stable,-1,-8.5,7.1
"Washington County, Pennsylvania(6,8)",,508.3,496.3,520.6,1484,stable,-0.1,-0.5,0.3
"Nueces County, Texas(6,8)",,380.5,371.7,389.5,1471,falling,-1.8,-2.2,-1.3
"Lexington County, South Carolina(6,8)",,447.3,436.9,458,1466,falling,-0.7,-1.3,-0.1
"Utah County, Utah(7,8)",,384.2,375.1,393.3,1452,stable,0.1,-0.1,0.3
"St. Clair County, Illinois(6,8)",,471,459.9,482.3,1441,falling,-0.7,-1.2,-0.3
"Mahoning County, Ohio(6,8)",,434.8,424.3,445.5,1433,falling,-1.4,-1.9,-0.9
"Caddo Parish, Louisiana(7,8)",,476.6,465.3,488.1,1427,falling,-0.6,-1,-0.2
"Cumberland County, North Carolina(6,8)",,461.5,450.6,472.6,1413,stable,-0.2,-0.6,0.2
"Sumter County, Florida(6,8)",,439.5,424.1,455.4,1413,falling,-3.3,-5.6,-1
"Cumberland County, Pennsylvania(6,8)",,442.2,431.7,453,1403,falling,-2,-2.8,-1.2
"Bell County, Texas(6,8)",,486.3,474.7,498,1403,stable,-0.4,-0.8,0.1
"Greene County, Missouri(6,8)",,418.1,408.1,428.3,1388,falling,-1.1,-1.5,-0.8
"Chatham County, Georgia(7,8)",,444.8,434.1,455.6,1388,stable,-0.4,-0.7,0
"Brazoria County, Texas(6,8)",,412.1,402.1,422.2,1384,falling,-1.9,-2.2,-1.5
"Lackawanna County, Pennsylvania(6,8)",,479.3,467.6,491.2,1381,stable,-0.4,-0.9,0.1
"Galveston County, Texas(6,8)",,389.4,380,399,1380,falling,-2.6,-2.9,-2.4
"Howard County, Maryland(6,8)",,407.9,398,418,1371,falling,-1.3,-1.8,-0.8
"Lancaster County, Nebraska(6,8)",,440.3,429.6,451.1,1369,stable,1.2,-1.3,3.7
"Durham County, North Carolina(6,8)",,453.1,442.1,464.3,1356,falling,-0.9,-1.3,-0.4
"York County, Maine(6,8)",,480.1,468.3,492.2,1346,falling,-0.9,-1.3,-0.5
"Butte County, California(7,8)",,472.7,460.9,484.6,1342,falling,-0.6,-1.1,-0.2
"Santa Cruz County, California(7,8)",,427.2,416.6,438.1,1337,falling,-0.8,-1.2,-0.5
"Prince William County, Virginia(6,8)",,347.6,338.8,356.6,1334,stable,-5.7,-11.3,0.2
"St. Joseph County, Indiana(6,8)",,431.8,421.2,442.6,1333,falling,-1.4,-1.9,-0.9
"Trumbull County, Ohio(6,8)",,459,447.5,470.7,1330,falling,-0.9,-1.3,-0.5
"Jackson County, Oregon(6,8)",,430.9,420,442,1316,falling,-1.6,-2,-1.1
"Sangamon County, Illinois(6,8)",,532.5,519.3,545.9,1315,stable,-0.1,-0.6,0.5
"Brown County, Wisconsin(6,8)",,457.6,446.3,469.1,1305,falling,-0.5,-1,-0.1
"Martin County, Florida(6,8)",,456.3,443.9,468.9,1304,stable,-3.5,-8.8,2.1
"Hamilton County, Indiana(6,8)",,440.2,429.2,451.4,1304,stable,-0.5,-1.3,0.4
"York County, South Carolina(6,8)",,469.2,457.6,481.1,1302,falling,-0.9,-1.6,-0.1
"Indian River County, Florida(6,8)",,468.6,455.7,481.9,1297,stable,-0.4,-0.8,0
"Litchfield County, Connecticut(7,8)",,481.5,469.2,494.2,1278,falling,-0.7,-1.1,-0.3
"Kanawha County, West Virginia(6,8)",,493.2,480.6,506,1275,stable,-0.3,-0.8,0.3
"Broome County, New York(7,8)",,501.3,488.5,514.4,1274,stable,1.8,-1.7,5.4
